speaker_name,talk_title,conf_name
Nenad Palinkasevic,Failing successfully: Crypto’s complicated story,ETH Belgrade
TokenBrice,Harnessing DeFi to Better DeFi: The DeFi Collective,ETH Belgrade
Tadeo,Building collaborative lending infrastructure,ETH Belgrade
Lefteris Karapetsas,"Privacy is not a crime, centralization is. Build self-sovereign apps!",ETH Belgrade
0xmikko,Scaling composable DEFI protocol to 400M from dev side,ETH Belgrade
Panel,Enabling DeFi to be more,ETH Belgrade
Marijo Radman,Navigating the Complexities of Restaking in Web3,ETH Belgrade
adcv,Economics and Evolution of the Ethereum Staking Landscape,ETH Belgrade
Vukasin Vukoje,Disrupting the Cloud with dePIN,ETH Belgrade
Nebojša Urošević,Breaking the Code: Ethdebug for Smart Contract Debugging,ETH Belgrade
James Corbett,A eulogy to Frankensteins tech stack,ETH Belgrade
Abena Asante,Designing Culture-Sensitive Hackathons for Empowering African Youth with Ethereum,ETH Belgrade
Mariia Yatskovska,Becoming an External Solver & Contributing to DAO Grants,ETH Belgrade
Bojan,Living only from crypto assets,ETH Belgrade
Alexey Pyshnenko,How to DAO: Strategies for Resilient Decentralized Governance,ETH Belgrade
Marko Jurina,"Crypto points: Identity, incentives and you",ETH Belgrade
Markus B.,BONSAI - the culture currency of Lens Protocol,ETH Belgrade
Dragan Rakita,Ethereum in next two years: Prague & Osaka hardforks,ETH Belgrade
James Glasscock,The Big Bang of Stable Currencies,ETH Belgrade
Panel,What the F**k to do now that we will have thousands of rollups?,ETH Belgrade
Jelena Djuric,Solving native asset issuance in a modular ecosystem,ETH Belgrade
Najdana Majors,Crafting the Blueprint: Building an Engaged DAO,ETH Belgrade
Andreea Cia,Geopolitics unchained: exploring web3’s global impact,ETH Belgrade
Timo Lehes,Tokenized RWAs - brave new world or unnecessary fad?,ETH Belgrade
Petar Atanasovski,Collaborative Investments - Can DAOs shape the fundraising future,ETH Belgrade
Sam Richards,The Promise of Blockchain Voting,ETH Belgrade
Roman Kolpakov,Treasury management or how to do stonks when you are DAO,ETH Belgrade
Cyrille,The reserve-backed stablecoin: a paradigm shift,ETH Belgrade
Solange Gueiros,Unlocking blockchain frontiers with Chainlink,ETH Belgrade
Claire Kart,F*ck Memes: Foundational Marketing Templates for Early Stage Founders,ETH Belgrade
Figue,All roads lead to liquidity,ETH Belgrade
Ilya Koshelev,Marketing side of MEME coins,ETH Belgrade
John Lilic,Pushing Blockchain Limits with Hardware Accelerated Provable Computation,ETH Belgrade
Niklas Kunkel,Are RWAs the answer to the DeFi boom-bust cycle?,ETH Belgrade
Swapnil Raj,Scaling Ethereum with Proof Verification Preconfirmations,ETH Belgrade
Rami Khalil,Proofs of STEEL: View Calls using RISC Zero,ETH Belgrade
Marija Mikić,Ring and Module LWE Stealth Address Protocol,ETH Belgrade
Andrija Novakovic,On proving of pairings,ETH Belgrade
Özgür Armanc Yiğit,Elliptic Curves and ZK Proofs,ETH Belgrade
Igor Gulamov,Solving Vitalik's trilemma with zk-driven DA&Storage,ETH Belgrade
Petr Korolev,Developers guide to ZK Security: from Bugs to Fixes,ETH Belgrade
Pavel Fedotov,"Zero Knowledge proofs on Mina, zkPassport and SoulBound NFTs",ETH Belgrade
Armin Bosto,"Crypto mass-adoption, are we there yet?",ETH Belgrade
Vyara Savova,Navigating Privacy in Crypto: Current Challenges and (Future) Solutions,ETH Belgrade
Pavle Krivokuca,Harmonising Security and Compliance in Digital Asset Infrastructure,ETH Belgrade
Michael Halepas,A Law Enforcement Approach To Digital Assets,ETH Belgrade
Panel,Lessons learned from years of having a DeFi incorporated in the US,ETH Belgrade
Noah Jelich,How To: On-Chain AML Compliance,ETH Belgrade
Panel,Regulatory environment for CASPs in Croatia and Serbia,ETH Belgrade
Denis Vuckovac,"I'll Share Some Alpha: No, [INSERT TOKEN] is not Beta on ETH",ETH Belgrade
Emilija Vuković,FDI powered by blockchain,ETH Belgrade
Francesco Andreoli,MetaMask Snaps and permissionless innovation strategies,ETH Belgrade
Nikita Savik,Evolution of blockchain explorers to meet the diverse needs of web3 users,ETH Belgrade
Vladislav Sopov,Add-ons and extra services for blockchain APIs in 2024,ETH Belgrade
Branimir Rakic,Decentralized RAG framework enabling the Verifiable Internet for AI,ETH Belgrade
Alberto Garoffolo,A Decentralized Protocol for Scaling SNARKs Verification in Blockchains,ETH Belgrade
Akram El Milligy,Connectivity between Ledger Hardware Device and Ethereum,ETH Belgrade
Aleksei Babenkov,Intro to DEX Arbitrage: Algorithms & Math,ETH Belgrade
Rotorless,Is contributor group design flawed?,ETH Belgrade
Brenda Loya,Tellor Layer: Decentralized Oracles for the Next Era,ETH Belgrade
Ilija Rilaković,Frontend providers for DeFi as operators under MiCA,ETH Belgrade
Matej Janez,Oasis Sapphire: Privacy in Use,ETH Belgrade
Simeon Kotashki,How to scale EVM dApps on Solana,ETH Belgrade
Jimmy Zhao,BNB Chain: Scaling for the next billion users,ETH Belgrade
Daniel Sobol,Portal Network and libportalnet,ETH Belgrade
Alex Mukhin,State of DePIN 2024,ETH Belgrade
Cathie So,"""Optimistic"" Outlook: Pioneering On-Chain AI",ETH Belgrade
Ben Biedermann,Making DePIN Work for Developers of Web3 Consumer applications,ETH Belgrade
Sahil Sen,Evolution of Ethereum Infrastructure,ETH Belgrade
Hubert Kotliński,Should everyone launch their own rollup?,ETH Belgrade
Daniela Zschaber,Onchain Reputation: From Plutocracy to Valocracy,ETH Belgrade
Emir Kurtovic,The Intersection of Blockchain and Gaming,ETH Belgrade
Stilyan Mitrev,The Importance of User Needs in web3,ETH Belgrade
Andrei Kirkkonen,DeFi and smart accounts: resolving UX challenges,ETH Belgrade
Simon Emanuel Schmid,Unleash The Graph's data,ETH Belgrade
Sundaram Jha,Designing the Future: Empowering Web3 Adoption Through Intuitive UX,ETH Belgrade
Wayne Marcel,Simplifying The User Experience Is The Key To Mass Onboarding,ETH Belgrade
Luka Isailovic,Enabling the Future of Blockchain UX with Session Keys,ETH Belgrade
Jacob Haap,Why no one cares about your NFT project,ETH Belgrade
Konstantin Molodykh,Cracking the code: Navigating tokenomics for successful fundraising,ETH Belgrade
Simon Engel,Enterprise Adoption in the Ethereum Ecosystem,ETH Belgrade
Artem Dubinin,Decision making when building Web2.5 apps,ETH Belgrade
Nemanja Nedic,Enterprise EVM Blockchain: Blade,ETH Belgrade
engn33r,Not Priced In: Security Footguns of Price Data,ETH Belgrade
Damian Rusinek,Secrets of Uniswap V4: A Deep Dive into Hooks Security,ETH Belgrade
Brad Harrison,Resilient oracles: Enhancing economic security with multiple price feeds,ETH Belgrade
Pietro Carta,What you need to know before deploying on L2s,ETH Belgrade
Yehor Balytskyi,Systematic security approach for blockchain-based software,ETH Belgrade
Josselin Feist,Introduction to fuzzing,ETH Belgrade
Anirudha Bose,Wallet OpSec for the pragmatic,ETH Belgrade
Panel,Security panel,ETH Belgrade
Raoul Schaffranek,Solidity Debugging meets Formal Methods,ETH Belgrade
Ilja Zakharov,"Universal, scalable and trustless verifiable computing",ETH Belgrade
Jakub Jaworski,RaaS and Oracles: How do they interact,ETH Belgrade
Edi Sinovcic,"ZK, past, present and future ZK",ETH Belgrade
Glovin,Heroglyphs - Incentives to transforming Ethereum validator dynamics,ETH Belgrade
definikola,Latest developments in DeFi 2024,ETH Belgrade
Adam Gagol,The Future of Anonymity,ETH Warsaw
Niklas Kunkel,Verification is the ultimate form of trust,ETH Warsaw
DeFi Panel,Current state of DeFi and its promises for the future,ETH Warsaw
Marius van der Wijden,Another Deep Dive into go-ethereum,ETH Warsaw
Atris,Gitcoin Grants Stack - tools for communities to fund their needs,ETH Warsaw
Toghrul Maharramov,Trustless Bridges: A Myth or Reality?,ETH Warsaw
Francisco Pinto,Crafting Tomorrow's Finance,ETH Warsaw
Callum Grindle,Building gasless dapps using universal profiles,ETH Warsaw
Governance Panel,Just DAO it the right way,ETH Warsaw
Tom Wilson,Permaweb - a vision for A better internet,ETH Warsaw
Ben Price,Gasless cross-chain transfers Powered by Gelato Relay,ETH Warsaw
Panel,Hackathon success stories,ETH Warsaw
Daria Volkova,Brand strategy for a web3 startup,ETH Warsaw
Connor Howe,DeFi Intents: From a solver,ETH Warsaw
Muhammad Tunrikulu,CCIP-Read,ETH Warsaw
Ruslan Serebriakov,Account Abstraction is coming,ETH Warsaw
Akram EL MILLIGY,Ledger Integration,ETH Warsaw
DeFi Uncomplicated,Panel Discussion,ETH Warsaw
Radek Sienkiewicz,Using Data Composition for a Better Web,ETH Warsaw
Dawid Szlachta,The index that scales. Private Etherscan in your pocket,ETH Warsaw
Joanna Frota Kurkowska,Web3 Gaming - the mainstream perspective,ETH Warsaw
definikola,The Latest Developments in DeFi: A Comprehensive Overview,ETH Warsaw
Adegbenga Ogungbeje,Developer challenges on implementing ERC-4337,ETH Warsaw
Miao Zhicheng,Pure Functional Solidity for Fun and Profit,ETH Warsaw
Matt Kielczewski,NFTs meet real world use cases,ETH Warsaw
Jan Gorzny,Lightweight Formal Methods in dApp Development,ETH Warsaw
Michał Dobaczewski,Introduction to Ethereum Development with Go,ETH Warsaw
Daniel Lumi,How to Scale ETH ‘Infinitely’ Without UX & Liquidity Fragmentation,ETH Warsaw
Damian Straszak,Blockchain Privacy: Mitigating Potential Misuse,ETH Warsaw
Paweł Łaskarzewski,From Legacy to Innovation,ETH Warsaw
Scalability Panel,Recent progress in solving Ethereum scaling challenges,ETH Warsaw
Bartek Rutkowski,Entering MakerDAO Endgame with Spark,ETH Warsaw
Kamil Gorski,Measuring Success: Decoding Growth Analytics,ETH Warsaw
Darren Camas,Interest Rates Derivatives and Composable Structured Products,ETH Warsaw
Marketing Panel,Marketing & PR in web3,ETH Warsaw
Kuba Wojciechowski,Pragmatic privacy with Liminal,ETH Warsaw
Paweł Zaremba,Freestyle improv during technical break,ETH Warsaw
Paweł Zaremba,Oracles: The Next Generation,ETH Warsaw
Hugo Masclet,Building the next generation of DApps with Universal Profiles,ETH Warsaw
Polina Aladina,New decentralised storage coming to town,ETH Warsaw
Robert Lauko & Cedric Waldburger,Leverage with less Risk,ETH Warsaw
VC Panel,Panel Discussion,ETH Warsaw
ad hoc Stablecoin Panel,Panel Discussion,ETH Warsaw
Julian Zawistowski,What's at Stake: ETH & Public Goods Funding,ETH Warsaw
Infra Panel,What are we building for? Infrastructure challenges and opportunities,ETH Warsaw
MICA Panel,Fireside chat: regulatory framework,ETH Warsaw
limone,Social Media Protocols,ETH Warsaw
Oleksiy Novykov,Unpegged: The Next Wave of Stablecoin Innovation,ETH Warsaw
Gaming Panel,Is Web3 Gaming Under-hyped?,ETH Warsaw
Corina,Branding & Marketing in Web3,ETH Warsaw
Anton Mozgovoy,Why is DeFi still a sandbox?,ETH Warsaw
Ryan Rodenbaugh,"Vaults.fyi - find vaults, verify yields",ETH Warsaw
Nethermind,Workshop,ETH Warsaw
Aleph Zero,Workshop - Safe and robust smart contracts in Ink!,ETH Warsaw
Marcus Wentz,Workshop,ETH Warsaw
Enso Finance,Workshop,ETH Warsaw
Conference Opening Ceremony,,ETH Warsaw
Marek Olszewski,Celo's L2 Proposal: Scaling Up the Tempo of Transactions,ETH Warsaw
Hackathon Closing Ceremony,,ETH Warsaw
Paweł Pepesza Peregud,Staking 100k ETH using QuebesOS,ETH Warsaw
Michał Chiliński,Staking 100k ETH using QuebesOS,ETH Warsaw
Michał Sieczkowski,Breaking Down ERC 4337,ETH Warsaw
Merkleplant,Workshop,ETH Warsaw
David Hunt-Mateo,Workshop,ETH Warsaw
Jerome De Tychey,EthCC Closing Ceremony,EthCC
Laurence Day,Kanav My Money Back?: On 'Counter-Exploits,EthCC
Dennison Bertram,The hyperscale public infrastructure thesis for DAOs,EthCC
Marc Zeller,The Decentralization Journey,EthCC
Sergey Nazarov,Building the Next Generation of DeFi Applications,EthCC
Kaven Choi,Diving deeper with EVM block explorers,EthCC
Federico Ast,The History of Politics and Lessons for DAO Governance,EthCC
Ashley Ebersole,Europe Calling? MICA and Potential translantic migration,EthCC
Josef Je,The Cryptonative generation,EthCC
Sasha Tanase,Elevating Developer Experience in Web3 - A Framework,EthCC
Daniel Luca,Elevating Developer Experience in Web3 - A Framework,EthCC
Dcbuilder,Zero-Knowledge Machine Learning and its use cases,EthCC
Julien Niset,The invisible wallet: how to make crypto magic,EthCC
Adrian Brink,The 3rd generation is intent-centric,EthCC
Mirela Spasova,Onboarding Millions to Digital Collectibles,EthCC
Anton Bukov,Token Plugins,EthCC
Chris Lyons,Future of web3 media and entertainment,EthCC
Camilla Mcfarland,Big Brands & Web3: NFTs and the consumer brand revolution,EthCC
Jordan Lyall,The Future of NFTs is L2,EthCC
Alex Gluchowski,ZK Stack and the Rise of the Rollup-State,EthCC
Fabian Vogelsteller,How LUKSO will UP!grade the blockchain user experience,EthCC
Jordi Baylina,zkEVM next steps,EthCC
Georgios Konstantopoulos,Reth: A new Rust Ethereum Client,EthCC
William Robinson,The State of Web3 Native Games,EthCC
Lea Schmitt,zkEVMs - one year in,EthCC
Terence Tsao,L2 sequencing. Where we at? Where we want to be?,EthCC
Eli Ben-Sasson,Starknet Vision,EthCC
Jerome De Tychey,Minimum Viable Data Availability for Optimistic L2s,EthCC
Jesse Pollak,Base’s commitment to decentralization,EthCC
Bradford Van Voorhees,How ETH and BTC Can Collaborate for a Renewable Energy Future,EthCC
Camila Russo,Lessons From the Recent Crypto Bull & Bear (Or Why Crypto Sucks Right Now),EthCC
Dr. Steven Waterhouse,Crypto vs The State: Are we ready to live outside the system,EthCC
Griff Green,Markets for Public Goods,EthCC
Christoph Jentzsch,Tokenization of private companies - state of the art,EthCC
Claire Calmejane,Banks leading the path of tokenization ?,EthCC
David Bachelier,Building Market Making 2.0 To Give More Control to Projects,EthCC
David Hoffman,How Crypto Protocols impact our Psychology,EthCC
Gubsheep Gubsheep,From Economicus to Ludens,EthCC
Lane Rettig,Bitcoin is Still for Dictators: Part Deux (Two Years Later),EthCC
Vitalik Buterin,a history of account abstraction,EthCC
Maggie Love,Saving Web3 Protocols from the Fate of Web2 Companies,EthCC
Justin Glibert,From Economicus to Ludens,EthCC
Gilles Fedak,What if Web3 was more about transferring secrets than value?,EthCC
Clara Medalie,The Black Box of Centralized Exchanges,EthCC
Anna Rose,The evolution of privacy on Ethereum,EthCC
Sophia Lopez,State of Enterprise Blockchain,EthCC
Hayden Adams,Onchain trading,EthCC
Yaoqi Jia,Economic Mechanism for Rollup as a Service,EthCC
Justin Drake,MEV burn,EthCC
Tim Beiko,"Ethereum Protocol Upgrades: Past, Present & Future",EthCC
Dominic Williams,Fully On-Chain: Internet Computer,EthCC
Robert Lauko,Cracking the Stablecoin Trilemma,EthCC
Gabija Tuinaite,Mangrove: Offer-is-Code Approach Revolutionizing DEXes,EthCC
Alice Henshaw,Introducing Uniswap v4,EthCC
Sara Reynolds,Introducing Uniswap v4,EthCC
Mehdi Zerouali,Lessons from a seasoned web3 security firm,EthCC
Lucas Vogelsang,Welcome to RWA Summer,EthCC
Martin Köppelmann,From self custody wallets to self custody payment announcing Gnosis Pay,EthCC
Pablo Veyrat,Evolution of current stablecoins models,EthCC
Stani Kulechov,Introducing Lens Protocol V2,EthCC
Kevin Owocki,Embedding Public Goods Funding in Social Media,EthCC
Jerome De Tychey,EthCC Opening Ceremony,EthCC
Santiago Trujillo Zuluaga,Web3.js v4: Simplifying DevEx With Web3 Plugins,ETH Denver
Joshua Vial,Using Holochain as a Validated Data Layer for On-Chain Transactions,ETH Denver
Illia Polosukhin,Decentralizing AI Our Next Great Challenge,ETH Denver
Erik Voorhees,Decentralizing AI Our Next Great Challenge,ETH Denver
Daniel Lumi,Rise of The Hyperchain: ZK Stack for zkSync,ETH Denver
Tyler Boscolo,How DePIN Will Onboard the Masses Into Web3,ETH Denver
Lane Rettig,Decentralization Is Really Really Hard,ETH Denver
Clara Tsao,Filecoin & AI: Building the Next Generation of Data Storage,ETH Denver
Dan Eskow,How to Get Hired in Web3,ETH Denver
Doug Petkanics,The DePIN Advantage: Supercharging Crypto's Role in AI,ETH Denver
Joseph Lubin,Joe Lubin Fireside: What Will Drive the Next Supercycle?,ETH Denver
Illia Polosukhin,Digital Self-Sovereignty in the Age of AI,ETH Denver
Michael Robinson,Chainlink CCIP: Unlocking the Full Potential of Tokenized Assets,ETH Denver
Shamus Noonan,Chainlink CCIP: Unlocking the Full Potential of Tokenized Assets,ETH Denver
Bill Laboon,Polkadot: More Than Just a Blockchain?,ETH Denver
Ben Fielding,Why Does AI Need Crypto?,ETH Denver
Kydo 0x,You Could've Invented EigenLayer,ETH Denver
Fabian Vogelsteller,From Idea to Reality: Transforming User Experience in Web3,ETH Denver
Niraj Pant,AI x Crypto The 30k Foot View,ETH Denver
Vikram Arun,Unchaining DeFi With ERC-4626: The Tokenized Vault Standard,ETH Denver
Chris Dixon,The Next Era of The Open Internet,ETH Denver
Kendall Cole,Cross-Chain Without Bridges: Secure Interoperability With Threshold Signatures,ETH Denver
Matthew Green,How ZK Tech Can Fix the Internet's Original Sin,ETH Denver
Ian Miers,How ZK Tech Can Fix the Internet's Original Sin,ETH Denver
Elena Nadolinski,How ZK Tech Can Fix the Internet's Original Sin,ETH Denver
Jacob C.eth,Freedom to Game: Let's Vampire Attack Web2,ETH Denver
Tiancheng Xie,Next Generation ZKP System and Single Slot Finality,ETH Denver
Jan Gorzny,Zircuit: A Security-Focused ZK Rollup Built on the OP Stack,ETH Denver
Martin Derka,Sequencer-Level Security (SLS) in Zircuit,ETH Denver
David Morrison,NEAR Protocol: An Overview (Two Truths and a Lie),ETH Denver
Jason Zhao,Programmable IP: Ushering in the Onchain Renaissance,ETH Denver
Sarah Thiam,Scaling Filecoin With Interplanetary Consensus Subnets,ETH Denver
David Furlong,Can Farcaster Frames Become a 10x Improvement for Consumer Crypto UX?,ETH Denver
Ryan Arndt,HederAdventure! Exploring the Decentralized Frontier,ETH Denver
Luc van Kampen,ENS Identity in Your dApps,ETH Denver
Matt Ye,How to Build Modular Bitcoin L2 With BTC Shared Security,ETH Denver
Qi Zhou,Building a Modular Storage Layer for Ethereum on EIP-4844,ETH Denver
Bader Youssef,The Complete Guide Building Blockchains With the Polkadot SDK,ETH Denver
Michał Sobieraj-Jakubiec,Navigating Risks of Layer 2s: The L2BEAT Approach,ETH Denver
Auston Sterling,What Happens if a MEV-Boost Relay Goes Rogue?,ETH Denver
Chris Dixon,Chris Dixon Fireside: The Next Era of the Open Internet,ETH Denver
Peter Van Valkenburgh,Make Public Policy Cypherpunk Again,ETH Denver
Hester Peirce,Hester Peirce Fireside: What's America's Crypto Future?,ETH Denver
Uri Kirstein,Building a Mental Model of a Smart Contract,ETH Denver
Dovey Wan,Taproot Wizards on Bringing JPEGs to Bitcoin,ETH Denver
Scott Trowbridge,The AI x Crypto Intersection,ETH Denver
Jake Brukhman,On-Chain AI Inference: Securing & Scaling Blockchain,ETH Denver
Jasper de Gooijer,Building the Ethereum of Oracles,ETH Denver
Ben Greenberg,The DevRel Playbook for Web3 Companies in 20 Minutes,ETH Denver
Ameen Soleimani,Storm Clouds Ahead: Why Tornado Cash Developers Need Your Support,ETH Denver
Aetos Huo,Fetching Offchain Private Data Using zkPass,ETH Denver
Molly Mackinlay,Filecoin the Storage Layer of Web3,ETH Denver
Michelle Avis,The d/acc Paradigm: Towards Regenerative Network States,ETH Denver
Rob Avis,The d/acc Paradigm: Towards Regenerative Network States,ETH Denver
Marc Ziade,The d/acc Paradigm: Towards Regenerative Network States,ETH Denver
Scott M.,Scaling RPGF With Retro Public Goods Organizations,ETH Denver
Justine H.,Scaling RPGF With Retro Public Goods Organizations,ETH Denver
Kev Silk,Zero-Knowledge Proof in Web3 Identity,ETH Denver
Quincy Jones,The Future of Tokenization and the Demand for Cryptocurrency,ETH Denver
Doug Hoyte,Euler Vault Kit: A Lending Ecosystem Built on ERC-4626 Vaults,ETH Denver
Billy Campana,Build a Searcher Bot to Capture MEV Using the OEV Network,ETH Denver
Cooper Kunz,The (Anti) Superchain Thesis,ETH Denver
Ahmed Al-Balaghi,Unlocking Account Abstraction for the Masses,ETH Denver
Jordi Baylina,Polygon Aggregation Layer: Cross-Chain Security Thru Chain-Level Accounting,ETH Denver
Erik Anderson,Collaborating On-Chain to Bring Gaming to the Masses,ETH Denver
Frankie Colamarino,Collaborating On-Chain to Bring Gaming to the Masses,ETH Denver
Carra Wu,Collaborating On-Chain to Bring Gaming to the Masses,ETH Denver
Luis Schliesske,The Bull Case for AppChains and How to Build Them,ETH Denver
Eduardo Antuña,How EIP4844 Will Affect the L2 Rollups,ETH Denver
Héctor Masip,How EIP4844 Will Affect the L2 Rollups,ETH Denver
Jayendra Jog,Parallelizing EVM With Sei,ETH Denver
Jakub Wojciechowski,Multi-Dimensional Price Oracles,ETH Denver
Dror Tirosh,What's New in Account Abstraction?,ETH Denver
Josh Davis,Core Devs Are Ethereum's Scarcest Resource,ETH Denver
Mike Natanzon,The Blockchain Mechanisms That Will Prevent Dystopia,ETH Denver
Shannon Wells,From Bits to Atoms: How DePIN Is Making Crypto Real,ETH Denver
Rob Solomon,From Bits to Atoms: How DePIN Is Making Crypto Real,ETH Denver
Nikhil Suri,Take Your Asset Multichain With Native Token Transfers,ETH Denver
Luís Freitas,Banking AI Autonomous Agents,ETH Denver
Joseph Poon,Opportunities for the Ethereum Mempool,ETH Denver
Ugur Mersinlioglu,Capturing Oracle Extractable Value Through Specialized OFAs,ETH Denver
Alessandro Buser,Risk Management for Institutional-Grade Yield Farming,ETH Denver
Anthony Rose,Modular Blockchains and Limitless Scaling of Ethereum,ETH Denver
Zack Guzman,Modular Blockchains and Limitless Scaling of Ethereum,ETH Denver
Harsha Abegunasekara,The Art of Getting Hired in Web3 & AI: Job Hunting and Personal Branding,ETH Denver
Matthew Green,Cryptographer Matthew Green on ZK Tech and Privacy,ETH Denver
S.Y. Lee,Scarcity in the Era of AI Superabundance,ETH Denver
Carvas,DeFi: From Apps to Primitives,ETH Denver
Joseph Schiarizzi,Value: How to Accrue It to Tokens,ETH Denver
Gregory Markou,This Is the Year for UX,ETH Denver
Alex Murashkin,More Than a Bridge: Evaluation of Cross-Chain Messaging Protocols,ETH Denver
Griff Green,"Web3 Talent: Profiling, Recruitment, and DAO Dynamics",ETH Denver
Benoit Kulesza,"Web3 Talent: Profiling, Recruitment, and DAO Dynamics",ETH Denver
Amanda Keleher,"Web3 Talent: Profiling, Recruitment, and DAO Dynamics",ETH Denver
Disruption Joe,Principles for a Implementing Pluralist Grants Framework,ETH Denver
Sean Bradford,AI and Co-Creation: How Emerging Tech Can Redefine Ownership,ETH Denver
John Adler,The Path to Gigabyte Blocks,ETH Denver
Eric Wade,"If the US Dollar Is to Survive, It Needs Ethereum to Do It",ETH Denver
Guy Itzhaki,"MPC, ZKP & FHE: Which Cryptography to Bet On (Hint: All)",ETH Denver
Alejandro Ranchal-Pedrosa,F3 and GossipBFT: Fast Finality on Longest-Chain Protocols,ETH Denver
Tom Ngo,Decentralized Layer 2s The New Meta,ETH Denver
Natalia Ameline,Decentralized Layer 2s The New Meta,ETH Denver
Pavel Sinelnikov,Burning Bridges and Strengthening Relationships,ETH Denver
Asta Li,How to Secure 12 Words on the Internet,ETH Denver
Daniel Tan,Efficiency and Innovations: The Journey of zkVMs From Today to Tomorrow,ETH Denver
Michael Bentley,How Modularity Drives the Next Wave of DeFi Lending,ETH Denver
Laurence Day,How Modularity Drives the Next Wave of DeFi Lending,ETH Denver
Rob Green,NFTs as Relational Databases,ETH Denver
Guillaume Lambert,Your Protocol's Token Will Go to Zero. Here's How to Fix It,ETH Denver
Norbert Vadas,Network Design for Protocols Using ZK-Proofs,ETH Denver
Rohit Sarkar,Technical Considerations of Restaking Pools,ETH Denver
Carl DiClementi,Streamlining Blockchain Data Access,ETH Denver
Callil Capuozzo,Uniswap It Just Works,ETH Denver
Nitya Subramanian,Endgame (Wallet Edition),ETH Denver
Leona Hioki,A New Era of Plasma With ZK,ETH Denver
Keshav Pandya,The Future of DeFi: Real World DeFi Applications,ETH Denver
Joao Reginatto,Stablecoin Interoperability: A Single-Infrastructure Model,ETH Denver
Chinmay Vemuri,Flatcoins: Crypto-Native Store of Value,ETH Denver
Tamaghna Basu,Mastering Web3 Security Using AI,ETH Denver
Porter Adams,Enshrining zkRollups Into Ethereum,ETH Denver
Chris Smith,Fuzz Invariant Testing: What Is It and How Can It Help You?,ETH Denver
Martin Hanzl,MiCAR Hands On: Your Guide for the European Crypto Regulation,ETH Denver
Ethan Francis,Getting Started on Solana,ETH Denver
Sam Glenn,Ascending Security: The New Frontier of Application Security With EigenLayer,ETH Denver
Suede Kam,AI Isn't Evil and Smart Contract Proves It,ETH Denver
Zane Huffman,"Actually, Points Are Cool and Good",ETH Denver
Evin McMullen,Blockchain's Next Big Thing: Intent-Centric Aggregator,ETH Denver
Zak Cole,Realism vs. Idealism: Privacy Pools and the Fight for DeFi's Future,ETH Denver
Ameen Soleimani,Realism vs. Idealism: Privacy Pools and the Fight for DeFi's Future,ETH Denver
Jessica Urgo,"Brands & NFTs: Success, Fails & How to Connect",ETH Denver
Sreeram Kannan,"Cheap, Safe, Nimble: DA and the Dream of Modularity",ETH Denver
Nick White,"Cheap, Safe, Nimble: DA and the Dream of Modularity",ETH Denver
Kyle Koshiyama,Bringing Fully Homomorphic Encryption to the L2 Space,ETH Denver
Neel Somani,Challenges & Advantages of Parallel VM Layer-2s,ETH Denver
Brian Russ,The Macro View: Valuation Perspectives From a TradFi Veteran,ETH Denver
Emily Lin,Developer Relations: Accelerating Web3 Growth,ETH Denver
Nader Dabit,Developer Relations: Accelerating Web3 Growth,ETH Denver
Bianca Buzea,Developer Relations: Accelerating Web3 Growth,ETH Denver
Jenks Guo,Developer Relations: Accelerating Web3 Growth,ETH Denver
Victor Sanchez Belmar,"Account Abstraction and Permisionless KYC, Building on Kinto",ETH Denver
Wei Dai,Horizontal Scalability for L2s,ETH Denver
