speaker_name,talk_title,conf_name
Sam Cassatt,RWA: Future of Real-World Assets On-Chain,ETH Denver
Bhaji Illuminati,RWA: Future of Real-World Assets On-Chain,ETH Denver
Manrui Tang,RWA: Future of Real-World Assets On-Chain,ETH Denver
Caleb Lim,RWA: Future of Real-World Assets On-Chain,ETH Denver
Ari Juels,Oracles Science Fiction and Not So Science Fiction,ETH Denver
Freddy Zwanzger,"The 'State of Staking' Panel: Decentralization, Security, and UX",ETH Denver
Raul Sanchez,"The 'State of Staking' Panel: Decentralization, Security, and UX",ETH Denver
Jon Kol,Permissionless and Modular Interoperability,ETH Denver
Theodore Essery,Community Building: Attracting Developers and Scaling Together in Crypto,ETH Denver
Zhen Yu Yong,"Web3 UI/UX in 2024: Passkeys, Account Abstraction, MPC and the Industry State",ETH Denver
Justine Humenansky,The Collective DAO Archives: DAO Design Principles,ETH Denver
Andrew Beal,How AI Based Threat Detection Can Save Web3,ETH Denver
Scott Imig,Algorithmic Reputation and Sybil Prevention Using Onchain Pagerank,ETH Denver
Remi Gai,Bring On-Chain Confidentiality With Fully Homomorphic Encryption (FHE),ETH Denver
Darren Camas,Building the Derivative to Protect Ultrasound Money's Sweet Yield,ETH Denver
Chris Cordle,Onchain Chess in Rust With Arbitrum,ETH Denver
Laurence Day,On-Chain Undercollateralised Credit: Banking but Worse,ETH Denver
Di Pearson,Hard Mode: Will Web3 Gaming Ever Onboard the Masses?,ETH Denver
Michael Powell,Hard Mode: Will Web3 Gaming Ever Onboard the Masses?,ETH Denver
Carra Wu,Hard Mode: Will Web3 Gaming Ever Onboard the Masses?,ETH Denver
Susannah Evans,Interop in an L2 World,ETH Denver
Fig,Interop in an L2 World,ETH Denver
Brandon Truong,Interop in an L2 World,ETH Denver
Austin King,Interop in an L2 World,ETH Denver
Jerone van de Graaf,ZKM: Implementing a Modular zkVM Using Lookups,ETH Denver
Solange Gueiros,Build Secure Cross-Chain Applications With Chainlink CCIP,ETH Denver
Cameron Browne,DAOs Are Dead. Or Are They?,ETH Denver
Zack Guzman,DAOs Are Dead. Or Are They?,ETH Denver
Niv Yehezkel,Inside DeFi's SEAL 911 Team,ETH Denver
Michael Lewellen,Inside DeFi's SEAL 911 Team,ETH Denver
Sota Watanabe,Crypto Capitals: Web3 Around the World,ETH Denver
Richard Muirhead,Crypto Capitals: Web3 Around the World,ETH Denver
Min Teo,Crypto Capitals: Web3 Around the World,ETH Denver
Natasha Hoskins,Why People Hate Crypto (and What We Can Do About It),ETH Denver
Deana Burke,Why People Hate Crypto (and What We Can Do About It),ETH Denver
Odysseas Lamtzidis,Frontrunning Hacks: Bound to Become Irrelevant,ETH Denver
Joanna Liang,How to Capture Alpha in 2024: AI and Gaming Projects,ETH Denver
Greg H.,How to Capture Alpha in 2024: AI and Gaming Projects,ETH Denver
Victoria Calmon,Web3 Crisis Comms Controlling Narratives When Sh*t Happens,ETH Denver
Viraz Malhotra,Make Any DeFi App Atomically Composable,ETH Denver
Taras Woronjanski,Defending On-Chain Privacy With ASPs,ETH Denver
Oren Katz,Next Phase in Scaling,ETH Denver
Kyle Langham,BFFs: Bitcoin and Ethereum,ETH Denver
Cy Li,The Future of Ethereum Starts With Open-Source Education,ETH Denver
Lisa JY Tan,Cheat Code Game Tokenomics for Fun and Profit,ETH Denver
Aron Beierschmitt,Cheat Code Game Tokenomics for Fun and Profit,ETH Denver
Benny Giang,Cheat Code Game Tokenomics for Fun and Profit,ETH Denver
Eddie Ye,"xERC20, the Open Crosschain Token Standard",ETH Denver
Phil Kwok,How to Bring the Next Billion Developers Into Web3,ETH Denver
James Wo,How VCs Are Deploying Capital in 2024,ETH Denver
Felix Machart,How VCs Are Deploying Capital in 2024,ETH Denver
Solene Feuillu,How VCs Are Deploying Capital in 2024,ETH Denver
Ren,How VCs Are Deploying Capital in 2024,ETH Denver
Presten Van Loon,Protodanksharding Upgrade,ETH Denver
Terence Tsao,Protodanksharding Upgrade,ETH Denver
Christine Kim,Protodanksharding Upgrade,ETH Denver
Izzy Lawrence-Onwuzurike,Web3 Impact in Africa,ETH Denver
Abdul Rahman,Implementing Compliance for DeFi,ETH Denver
Thomas Salas,How Web3 Is Going to Unfuck AdTech,ETH Denver
Slay Huff,Heist Movies and the Evolving Layers of Web3 Security,ETH Denver
Murat Akdeniz,Preconfirmations on Mainnet,ETH Denver
John Reynolds,ZPASS: Truly Secure Identity Verification,ETH Denver
James Mission,A Beginner's Guide to Analyzing Ethereum Data,ETH Denver
Benny Giang,Breaking Down an NFT to Its Atomic Level,ETH Denver
Junda,Use ZK Coprocessor to Build Data-Driven dApps Without Writing a Single Line of ZK Circuit,ETH Denver
David Sneider,Account Based Solutions to Web3 UX,ETH Denver
Will Warren,The Evolution of the DEX Space,ETH Denver
Antonio Juliano,The Evolution of the DEX Space,ETH Denver
Ido Ben-Natan,You Can't Scale Web3 w/o Better Onchain Security,ETH Denver
Nadav Hollander,You Can't Scale Web3 w/o Better Onchain Security,ETH Denver
Taylor Monahan,You Can't Scale Web3 w/o Better Onchain Security,ETH Denver
Muneeb Ali,Have Fun Staying Turing Incomplete: What Bitcoin Builders Borrowed From Ethereum,ETH Denver
Eric Tung,The Hard Kind of Censorship Resistance,ETH Denver
Sandy Peng,The Urge to Surge: Rollups and the Quest for Max TPS on Ethereum,ETH Denver
Pol Lanski,MEV Smoothing Pools: A No Brainer for the Solo Staker and Small LSDs,ETH Denver
Samantha Marin,Future-Proof Governance: Building Modular Organizations of the Future,ETH Denver
Eli Ben-Sasson,FRI vs. KZG: Does Field Size Matter?,ETH Denver
Nick Dodson,Fast Finality Optimistic Rollups,ETH Denver
Andy Bromberg,10 Minutes to Midnight: How to Save Crypto Payments Before It's Too Late,ETH Denver
Severiano Sisneros,ZK-Coprocessors: State of the Art & Future Directions,ETH Denver
Jamie Steinberg,"The NFT's Utility: Yesterday, Today, & Tomorrow",ETH Denver
Brendan Lucas,Nomadic Nodes: Revolutionizing Work and Life in the Ethereum Ecosystem,ETH Denver
Daniel Chong,Zen & the Art of Wallet Security: How to Not Get Hacked,ETH Denver
Manuel RinconCruz,"History Suggests LSTs, Not RWAs, Will Be DeFi's Treasuries",ETH Denver
Chris Anatolio,Building Community Owned & Funded Virtual Infrastructure With Spheron,ETH Denver
Elena Obukhova,Disruptors Are Never Welcomed,ETH Denver
Golda Velez,Decentralized Trust and AI,ETH Denver
Maria Shen,Developer Report Deepdive,ETH Denver
Karel Kubat,Sovereign Interoperability or Get Rugged,ETH Denver
Ramona Tudorancea,Evolution of Organizations,ETH Denver
David Beiner,AppInfra Cycles and the Next Wave of Consumer Crypto,ETH Denver
Justin Melillo,AppInfra Cycles and the Next Wave of Consumer Crypto,ETH Denver
Andy Bromberg,AppInfra Cycles and the Next Wave of Consumer Crypto,ETH Denver
Ayesha Kiani,NYU Blockchain Lab: Breakdown of Infrastructure From Research Perspective,ETH Denver
Stanley He,(Re)Staking In The Modular End Game,ETH Denver
Thalita Franklin,(Re)Staking In The Modular End Game,ETH Denver
Tina Haibody,(Re)Staking In The Modular End Game,ETH Denver
0 x,The Token That Traded Itself: Why Onchain AI Is a Public Good,ETH Denver
Gabriel Vorbeck,Embracing Open Graphs to Solve the Cold Start Problem,ETH Denver
Andrea Lerdo de Tejada,The Post-PFP Era: What's Next for NFT Markets?,ETH Denver
Jan Gorzny,Zircuit: Challenges of Building an EVM Equivalent ZK Rollup on the OP-Stack,ETH Denver
Terence Tsao,Prysm in 2024,ETH Denver
Amos Zhang,Crypto Marketing and Token Launch 101 for Builders,ETH Denver
Kenny Li,Uncovering the Transformational Potential of Modularity,ETH Denver
Ermin Nurovic,The ETH Standard,ETH Denver
Declan Fox,Upgrading the Linea zkEVM With Alpha v2,ETH Denver
Liam McDonald,Encryption Tools for MEV Protection in DeFi on Any Blockchain,ETH Denver
Myra Tumlos,"Decentralize Staking for the Future of Ethereum, the Power of DVT",ETH Denver
Imi Kim,EIP-7543 Adding Decimal Float Math to the EVM,ETH Denver
Leilani L.,Applying Atomic Design Principles to Modular Wallet Development,ETH Denver
Jayen H.,Applying Atomic Design Principles to Modular Wallet Development,ETH Denver
MatthewCommons,NextGen Stablecoins and the Omnichain Future,ETH Denver
IreneWu,NextGen Stablecoins and the Omnichain Future,ETH Denver
Rahul Sethuram,"Memecoins: Past, Present, and Future",ETH Denver
Avi Zurlo,The Future of Blockchain Execution: EVM vs. EVM+/- vs. non-EVM,ETH Denver
Calvin Pak,Due Diligence in Web3,ETH Denver
Cy Li,Due Diligence in Web3,ETH Denver
Ye Wang,The New Era of Transaction Observability: Deciphering MEV's Shifting Value Landscape,ETH Denver
Will Nuelle,Business of Block Space Pt. 2: Mevconomics,ETH Denver
Justin Moskowitz,BUIDLing Momentum,ETH Denver
Ellie Li,BUIDLing Momentum,ETH Denver
Del Titus,BUIDLing Momentum,ETH Denver
Austin Griffith,BUIDLing Momentum,ETH Denver
Gregory Hill,How The Merge Enables Greater Innovation at the Consensus Layer,ETH Denver
Rafael Solari,Cross-Chain DAOs,ETH Denver
Evan Marshall,Stop Building the Dystopia,ETH Denver
Leo Wallet,Stop Building the Dystopia,ETH Denver
David Alderman,"L2s, AltDA, ETH Profitability: TradFi Goes Deep on Tokenomics",ETH Denver
Colton Orr,AceTCG: Co-Creating Metaverse Mythology,ETH Denver
Vladimir,Enabling Ethereum-Native Orderbook Exchanges With Novel Zero-Knowledge Construction,ETH Denver
Slava Serebrianniy,The Rise of the Blockchain Architect: Defining a Crucial Role in Web3,ETH Denver
Jelena Djuric,Endless Summer: DeFi Across Chains,ETH Denver
Sunny Aggarwal,Endless Summer: DeFi Across Chains,ETH Denver
Maria Magenes,"DeFi Marketing Odyssey: Struggles, Best Practices, and New Tools",ETH Denver
Nicolas Liochon,"L2s in 2024: Surge, Adoption & Security",ETH Denver
Mahsa Moosavi,Unlocking the Potential: The Why and How of Running Your Own Rollup,ETH Denver
Jacqueline Cooper,Dying Is a B****: How to Beat the Grim Reaper With Your Digital Asset Organizers,ETH Denver
Karen Scarbrough,How We Plan to Help Accelerate Industry Adoption,ETH Denver
Elizabeth S,Empowering the Future: Educating Youth on Blockchain Technologies From Basics to Books,ETH Denver
Michael O'Rourke,A Playbook for Middleware Protocols,ETH Denver
Dave Rodman,You Are Probably Breaking the Law: Web3 Founders and the Law,ETH Denver
Ran Hammer,The Future of On-Chain Liquidity,ETH Denver
Zack Guzman,Inside the Decentralized Media Revolution,ETH Denver
Sam MacPherson,From App to Infra: Is This How DeFi Scales?,ETH Denver
Paul Frambot,From App to Infra: Is This How DeFi Scales?,ETH Denver
Kevin Yang,Introducing Artela: A New Solution for Blockchain Extensibility,ETH Denver
Atakan Yavuzarslan,Guardians of the Digital Realm,ETH Denver
Cheeky Gorilla,Protocol Guild: Funding Core Protocol Stewardship,ETH Denver
,Unwrapping the DAO: Taking Decentralization Back to First Principles,ETH Denver
Bowen Wang,L1s Untangled Stateless Validation and the Path to Hyper Efficiency,ETH Denver
Miko Matsumura,Contrarianism: How to Invest Time & Money,ETH Denver
Rachel Rose,DAO Dynamics: Employment Ownership & Navigating Web3 Work,ETH Denver
Marlene Petri Basson,The C4 CryptoCurrency Security Standard (CCSS),ETH Denver
Jake Silzer,The C4 CryptoCurrency Security Standard (CCSS),ETH Denver
Chloe Avery,DePINs: Ensuring the Future of Web3 in the Face of AI's Ascendency,ETH Denver
Hart Lambur,Across: Solving Cross-Chain UX Through Intents,ETH Denver
Robbie Kruszynski,Optimistic Schnorr Oracles 101: Unlock Verifiable Data,ETH Denver
Yoav Weiss,"AA Is Easy, if You Don't Care About Decentralization",ETH Denver
Karel Kubat,Sovereign Interoperability: How to Solve the Sovereign Trilemma,ETH Denver
Max Howell,The Problem With Maintaining Open Source and How to Solve It,ETH Denver
Jonathan Wu,The Case for Monolithic Rollups,ETH Denver
Andrew Aitken,Why Contributing to Open Source Matters!,ETH Denver
,Onboarding Developers: What Works and What Doesn't,ETH Denver
Amy Kalnoki,Your 'Stay-Out-of-Jail-Free' Card: Navigating the $10K+ Transaction Reporting Law,ETH Denver
,"The Spectrum of Stablecoin Permissioning, an Argument for Doubling Down on Decentralization",ETH Denver
Viacheslav Shebanov,RPC Centralization in Web3: Balancing Efficiency and Decentralization,ETH Denver
TJ Connolly,Security & Trust Assumptions for Evaluating Non-Custodial Wallet Providers,ETH Denver
Song Z,ZKP on the Client-Side: Challenges and Use Cases,ETH Denver
Sandy Peng,Mastering Technical Communication: The Art of Scroll,ETH Denver
Vanessa Grellet,Investing in Innovation: How Venture Will Change in 2024,ETH Denver
Kelly LeValley Hunt,Investing in Innovation: How Venture Will Change in 2024,ETH Denver
Niklas Kunkel,Are RWAs the Answer to the DeFi Boom-Bust Cycle?,ETH Denver
Gage Sasquatch,Gaming DAOs as a New Coordination Layer,ETH Denver
Pat Yiu,Gaming DAOs as a New Coordination Layer,ETH Denver
Peter Dager,Gaming DAOs as a New Coordination Layer,ETH Denver
Spencer Graham,Full-Spectrum Rule Enforcement: The 10x Unlock From DAOs,ETH Denver
Naomi Plasterer,Building Universal Permission-Based Messaging in Web3,ETH Denver
Evgeny Kot,NFT Indexing Unveiled,ETH Denver
Kevin Costello,Byte-Sized Security: How to Deploy a Minimum Viable Secure Crypto Product in 2024,ETH Denver
James Mission,A Beginner's Guide to Analyzing Ethereum Data,ETH Denver
Tung Chan,Is Common-Sense Crypto Policy Within Reach?,ETH Denver
Kara Calvert,Is Common-Sense Crypto Policy Within Reach?,ETH Denver
Chris Hansen,Is Common-Sense Crypto Policy Within Reach?,ETH Denver
Max Revitt,Building an Erigon-Based Node for a Type-2 zkEVM,ETH Denver
Peter DePaulo,Mastering the Chaos Cycle: Finding Your Place in the Crypto Ecosystem,ETH Denver
Spencer Cavanaugh,Building Onchain Organizations,ETH Denver
Matt Cutler,Real Time Observability Reveals Ethereum's Unexpected Inner Workings,ETH Denver
Andrea Vargas,EVM Stateful Precompiles,ETH Denver
Max Howell,"Abstracting Complexity, Unlocking Opportunity",ETH Denver
Shane Moore,Building in a Multi-VM Environment,ETH Denver
Brett Lee,Squad Staking in 2024: Opportunities for Solo Stakers With DVT,ETH Denver
Brenda Loya,"Data Availability, Speed and Accuracy in a Multichain World",ETH Denver
Kent Barton,Scaling the Community: We're Gonna Need a Bigger Tent,ETH Denver
Edi Sinovcic,How to Build a Cross-Chain Yield DEX on Starknet,ETH Denver
Fonz Olvera,Dogfooding Technology at ETHDenver 2025,ETH Denver
Russell Castagnaro,Dogfooding Technology at ETHDenver 2025,ETH Denver
BITGODDESSES XR,How to Evaluate NFTs,ETH Denver
Piotr Moczurad,Smart Contracts in Ink!: Not Only for Solidity Developers,ETH Denver
Harry Roberts,Confidential EVM: Next-Generation Contracts,ETH Denver
William Wang,The Interwoven Web: Unleashing the Power of Full Spectrum Blockchain Interoperability,ETH Denver
Erica Kang,Fostering East-West Collaboration and Innovation in Crypto,ETH Denver
Gracy Chen,Listing Strategies for Crypto Projects: Insights From Industry Leaders,ETH Denver
Alex Salnikov,The Future of On Chain Experiences Through NFTs,ETH Denver
Jose Fabrega,Decentralization: How to Talk About It vs. How to Do It,ETH Denver
Jonathan Prozzi,BREAKING: Devs Remix Frontend. What They Did May Surprise,ETH Denver
,"Cracking the Asian Market: A Growth Centre for Web3 Users, Consumers & Developers",ETH Denver
Elliscope,How to Go From Hackathon to Funding,ETH Denver
Ray,How to Go From Hackathon to Funding,ETH Denver
Dani Osorio,How to Go From Hackathon to Funding,ETH Denver
Alan Hampton,How to Go From Hackathon to Funding,ETH Denver
Saad Qureshi,Elevating Your Narrative and Building Trust in Your Project,ETH Denver
Michael Moser,The Cost of Artificial Latency in a PBS Context,ETH Denver
Danno Ferrin,"Before, During, and After: The 3 Sides of Parallel Execution",ETH Denver
Alexander Hertlein,Trustless Confidential Bridging With Secret Network,ETH Denver
Alex Netto,Open Source and Public Goods: How Can They Reshape DAO Governance?,ETH Denver
Daniela Zschaber,Open Source and Public Goods: How Can They Reshape DAO Governance?,ETH Denver
Mariana de la Roche,Navigating the Regulatory Spring in the EU,ETH Denver
John Reynolds,Building ZK Products That Solve Real World Problems: Identity (zPass),ETH Denver
Brian Robbins,Powering Progress via Partners: Middleware's Scaling Role,ETH Denver
Fernando Castillo,Verifiable Computation and Multi-Party Workflows,ETH Denver
Dario de Martino,Chain Reaction: Navigating the New Frontier of Blockchain M&A,ETH Denver
,How Worried Should We Be About Ethereum Client Diversity,ETH Denver
Sarah Chen,Takeaways From The Latest SEC Enforcement Actions on Crypto Assets,ETH Denver
Pavel Sinelnikov,Watch Me Prove Anything,ETH Denver
Pooja Ranjan,Evolving Ethereum With Improvement Proposals,ETH Denver
Christopher Newhouse,Filtering the Signal From the Noise: Finding the Next Trading Narrative,ETH Denver
Sarah Milby,The Future of Crypto Regulation,ETH Denver
Kevin Wysocki,The Future of Crypto Regulation,ETH Denver
,Crypto: The Game Reunion Show: A Live Panel With Its Founder and Players,ETH Denver
Brittany Pettersen,Brittany Pettersen Fireside: The Crypto Conversation in DC,ETH Denver
Jennifer Sanasie,Brittany Pettersen Fireside: The Crypto Conversation in DC,ETH Denver
Anton Yezhov,Maru State Storage,ETH Denver
Alex Rusna,Maru State Storage,ETH Denver
Martin Hanzl,MiCAR Hands On: Your Guide for the European Crypto Regulation,ETH Denver
Yannis Smaragdakis,All Your Contract Are Belong to Us: Analyzing All Deployed SCs,ETH Denver
Rene Reinsberg,The Road to CEL2: Migrating to an L2 & Unlocking 1B Users,ETH Denver
Arjun Hassard,TACo: Web3's Day-One-Decentralized Access Control Plugin,ETH Denver
Suruchi G.,Bandwidth as a New Asset Class,ETH Denver
Deborah S.,Bandwidth as a New Asset Class,ETH Denver
Sid Gandhi,Cash Is King: What We Lost on the Way to Crypto,ETH Denver
Rebecca Matsumura,Working With Lawyers Before Your First Legal Hire,ETH Denver
Aetos Huo,Fetching Offchain Private Data Using zkPass,ETH Denver
James Mission,A Beginner's Guide to Analyzing Ethereum Data,ETH Denver
Casey Gardiner,Dogfooding Technology at ETHDenver 2025,ETH Denver
Vivian Phung,Crypto Mobile and Mass Adoption,ETH Denver
Ruben Muradyan,From Sick to Secure: How Remedy Is Curing Web3,ETH Denver
Mahina Opolis,MicroStep Your Way From Burnout to Harmony,ETH Denver
James Young,The First SocialFi Bot From Collab.Land: The Inventor of Token Gating,ETH Denver
Will Morgan,Humanity-Centered Design: Incentivizing a Better Future,ETH Denver
Russell Castagnaro,From #BUIDLathon to Bufficorn Ventures,ETH Denver
John Gleeson,"Web3 Thrives: Pioneers, Challenges, and Collective Vision",ETH Denver
Tim Becker,Unlocking the Past: Building Trustless dApps With Relic,ETH Denver
Charlie Blackstock,DAOs: Taverns and Town Halls,ETH Denver
Manu Alzuru,The Rise of Trust Networks,ETH Denver
Ettore Rossetti,HODL Hope: Gamifying ETH Philanthropy for Save the Children,ETH Denver
Mr. Altan Tutar,the future of defi near protocol s role and potential,ETH Denver
Prof. Dr. Claudio J. Tessone,OPENING,Ethereum Zurich
Wolfgang Vitale,Decoding Tokenomics: Protocol Research for Legal Classification,Ethereum Zurich
Robert Zaremba,Cross Chain DeFi: opportunities and challenges,Ethereum Zurich
Michael Bucher,Bridging EVM and Non-EVM Assets: A Practical Approach,Ethereum Zurich
Aisling Connolly,vetKeys: How Blockchains can keep many Secrets,Ethereum Zurich
Josef Je,Cryptonative economy report TL;DR,Ethereum Zurich
Michael Wagner,Lessons Learned From Building UniswapV4 Hooks,Ethereum Zurich
Akaki Mamageishvili,Shared Sequencing and Latency Competition as a Noisy Contest,Ethereum Zurich
Pavel Kulikov,Regulatory Taxonomy for DeFi: Global Technology Risk and Beyond,Ethereum Zurich
Romain FIGUEREO,Liquidity in crypto: a new flow of value creation,Ethereum Zurich
Georgy Kobakhize,Dangerous Decimals: how rounding issues haunt DeFi,Ethereum Zurich
Andra Fecioru,Why diffs matter?,Ethereum Zurich
Jan Gorzny,Sequencer-Level Security in Zircuit,Ethereum Zurich
Raphael,Navigating the Waters of Decentralized Exchanges and Onchain Spot Trading,Ethereum Zurich
Prof. Dr. Nicola Dimitri,The Economics of Two-Token Blockchains,Ethereum Zurich
Simon Emanuel Schmid,Subgraphs as read-oriented roll-ups,Ethereum Zurich
Francesco Andreoli,Building a Shill-Free Developer Community for Wallet Innovation,Ethereum Zurich
David Dal Busco,Build dApps at lightning speed,Ethereum Zurich
Michela Silvestri,From CeFi to DeFi,Ethereum Zurich
Michael Svoboda,The CDP-endgame - which DeFi stablecoins will last,Ethereum Zurich
Antoine Sparenberg,The case for native account abstraction,Ethereum Zurich
Arthur Gervais,Speculative Denial-of-Service Attacks in Ethereum,Ethereum Zurich
Marcin,Multi-Dimensional Price Oracles,Ethereum Zurich
Miao ZC,Comparisons of Continuous-Time Swap Designs,Ethereum Zurich
Dr. Claudio Tessone,Fireside chat,Ethereum Zurich
Torgin Mackinga,Oracle-free DeFi,Ethereum Zurich
Magdalena Fichtl,"Zero Gas, Infinite Scale: The bullcase for AppChains and how to build them",Ethereum Zurich
Garrett MacDonald,Decentralized Storage Landscape in 2024 - the rise of native VMs,Ethereum Zurich
sandusky,Scaling Ethereum: the power of UTXO,Ethereum Zurich
adcv,Institutional Staking and the Role of Decentralized Liquid Protocols,Ethereum Zurich
Micha Bitterli,Future use cases of digital identities,Ethereum Zurich
Björn Assmann,Multi-chain Governance: On-Chain Voting with Ethereum,Ethereum Zurich
Björn Tackmann,Threshold Cryptography for Multichain Dapps,Ethereum Zurich
Thiago Brezinski,Build Universal Web3 Apps with React Native,Ethereum Zurich
Giovanni Vanini,Blockchain's ChatGPT moment: unlocking new opportunities for SMEs and enterprises,Ethereum Zurich
Tao Yan,Multi-Layered NFT Wash Trading Detection Leveraging Sequential Transaction Features,Ethereum Zurich
Michal Převrátil,Wake Framework - Swiss Knife to Ethereum Tooling,Ethereum Zurich
Stepan Sonsky,The perfect Solidity VS Code extension doesn’t exi…,Ethereum Zurich
Johannes Kern,Why is web3 using web2 automation infrastructure? Tackling this with cryptography,Ethereum Zurich
Damian Rusinek,Secrets of Uniswap V4: A Deep Dive into Hooks Security,Ethereum Zurich
Sheraz Ahmed,Corporate Web3 Adoption,Ethereum Zurich
Michael Kunz,Beyond Open Source: IP Strategies for Web3 Projects,Ethereum Zurich
Andreas Fletcher,On-Chain Undercollateralized Credit: Banking but Worse,Ethereum Zurich
Bruno Pasquier,Liquidity Pools in Decentralized Finance (DeFi)–Private Law Issues,Ethereum Zurich
Pamela Limón,Decentralized Science in America Latina,Ethereum Zurich
Akram El Milligy,Build with a Hardware Device,Ethereum Zurich
Aliya Das Gupta,Opportunities in CeDeFi,Ethereum Zurich
Jakub Čech,Tackling Fragmented UI/UX in the Web3 Sector: The Power of Unification,Ethereum Zurich
Wolfgang Vitale,Ethereum protocol 101: from first principles to future development,Ethereum Zurich
Florian Spychiger,How to design a successful DAO,Ethereum Zurich
Laurence Kirk,Essential Maths for Zero Knowledge Proofs,Ethereum Zurich
Michal Převrátil,Enhancing IDEs with RealTime Static Analysis for Solidity Development,Ethereum Zurich
Andrey Babushkin,Uncover Hidden Bugs with Fuzzing,Ethereum Zurich
Santiago Trujillo Zuluaga,Getting started in web3 development: web3.js & web3 plugins,Ethereum Zurich
Ben Hoelzl,DAO Ecosystem in Switzerland,Ethereum Zurich
Anthony Leutenegger,DAO Modularity - The Next Unlock,Ethereum Zurich
Nebojsa Urosevic,Breaking the Code: Ethdebug format for Smart Contract Debugging,Ethereum Zurich
Dr. Christian Killer,Dancing with Moore’s Law: the Mobile Cloud Disruption,Ethereum Zurich
Loïc Titren,How to build an on-chain staking pools platform,Ethereum Zurich
ariutokintumi,hello Mempool,Ethereum Zurich
Eomji Park,Why Developers Drift Away: Strategies and Challenges in the Web3 Ecosystem,Ethereum Zurich
Özgür Armanc Yiğit,Elliptic Curves,Ethereum Zurich
Nuno Loureiro,Is Design the final frontier to mass adoption?,Ethereum Zurich
Costanza Gallo,How Swarm makes crypto cypherpunk again,Ethereum Zurich
Adrian Brink,Anoma: Ethereum's Intent Machine,Ethereum Zurich
Rostyslav,Bridging Traditional Finance and Blockchain,Ethereum Zurich
Nicola Plain,The Swiss DLT law in practical application,Ethereum Zurich
Krzysztof Gogol,Digital Asset and CBDCs Exchange using Layer-2 Blockchain,Ethereum Zurich
Matthias Hafner,"Next-Gen Payments: Competition among Stablecoins, CBDCs, and other Payment Tokens",Ethereum Zurich
Niklas Kunkel,Are RWAs the answer to the DeFi boom-bust cycle?,Ethereum Zurich
Dominic Wörner,Extending ETH with ICP: Leverage the decentralized cloud from Ethereum,Ethereum Zurich
Janina Pietrowska,Regulatory considerations and challenges in DeFi.,Ethereum Zurich
George Mandres,Building Yield Curves in DeFi and Unlocking New Use Cases,Ethereum Zurich
Tino Breddin,Integrating a decentralized mixnet into a wallet extension to achieve full privacy,Ethereum Zurich
Tim Weingaertner,DeFi Supervision - Who's task is it?,Ethereum Zurich
Dr. Florian Spychiger,Designing a Decentralized Autonomous Organization,Ethereum Zurich
Silvan Andermatt,Blockchain for good - towards a rewarding circular economy with Blockchain,Ethereum Zurich
Lauriane Mollier,How can blockchain make Open-Source work better?,Ethereum Zurich
Matthias Hafner,The Green Evolution of Ethereum,Ethereum Zurich
N. Urosevic,Navigating EVM Implementation Variances in L1-L2,Ethereum Zurich
Una Wang,Living in the age of crypto tribalism: learnings from Zuzalu,Ethereum Zurich
Ugur Mersinlioglu,Recapturing Oracle Extractable Value through specialized OFAs,Ethereum Zurich
Anish Mohammed,Succinct cross-chain bridges via backwards compatible SNARKs,Ethereum Zurich
Alain Brenzikofer,How Proof-of-Personhood Through In-Person Gatherings Can Enable UBI and Democracy,Ethereum Zurich
